"年","臺灣地區-元","新北市-元","臺北市-元","桃園市-元","臺中市-元","臺南市-元","高雄市-元","宜蘭縣-元","新竹縣-元","苗栗縣-元","彰化縣-元","南投縣-元","雲林縣-元","嘉義縣-元","屏東縣-元","臺東縣-元","花蓮縣-元","澎湖縣-元","基隆市-元","新竹市-元","嘉義市-元"
"1998","873175","875751","1196141","950235","891503","744397","831902","783504","910821","761381","804131","725605","661698","580982","742449","562213","718903","504624","804378","960109","873466"
"1999","889053","892692","1208578","944302","925933","736363","846303","826697","968579","779814","755213","858800","742533","628540","718919","574406","711084","588607","868974","1011061","796358"
"2000","891445","882634","1237777","985426","855399","763523","835452","805088","1021919","788159","757817","729438","694363","725986","767107","641298","741877","697315","863374","1099335","808703"
"2001","868651","896186","1217932","923301","866609","717591","820781","725890","922675","777341","706694","694028","732284","660383","679721","627005","744651","595548","775698","1101828","785582"
"2002","875919","899975","1232387","979979","843776","746442","801248","695577","949374","762664","799305","683359","688011","611036","782085","651312","689347","605641","722155","1027437","845388"
"2003","881662","905166","1232396","959744","856510","786875","802658","779157","930761","778215","816066","681544","673606","615943","757714","619787","730767","588048","726013","1078255","772203"
"2004","891249","918055","1225096","995951","820520","787897","841900","729324","975383","732410","803292","738359","703806","661697","703809","631719","714810","720582","868343","1217297","694118"
"2005","894574","934211","1236014","985537","829541","737099","863104","822477","1053182","768863","765433","748483","648685","679081","741094","597433","662744","628399","875160","1092427","812886"
"2006","913092","930130","1262406","981273","881886","791254","848785","767861","957811","849510","815377","815573","764109","697288","747713","624932","726258","705881","782453","1171277","800693"
"2007","923874","912968","1287803","1003789","930676","815882","900028","750870","910180","826541","776371","722209","663716","638887","796114","720459","724680","644462","851508","1277464","730039"
"2008","913687","972062","1271060","960037","861977","810038","884720","847932","1063948","754346","760545","708936","643980","655130","701111","586479","695030","732450","816692","1187288","741393"
"2009","887605","922690","1246310","940942","814673","770804","869558","746261","1011033","756823","750697","808713","615006","629952","727434","667547","655696","689166","863161","1133833","686637"
"2010","889353","893859","1298640","915499","823848","740706","873346","802483","1052587","788968","741050","782905","616480","658489","704748","568409","741246","827323","860445","1184598","698454"
"2011","907988","927075","1251519","961998","915341","783223","856346","721410","1097918","833967","772072","729037","674055","687869","710173","607872","757041","673081","845677","1152707","768315"
"2012","923584","911915","1278278","1007045","886682","770078","894107","892727","1093853","826530","792362","831790","684977","747956","736174","670017","761611","727056","786441","1132620","910601"
"2013","942208","931239","1279195","1027658","928938","830467","915255","813875","1073893","839394","789742","748930","704313","727426","722101","676390","790373","769955","841832","1224310","1026305"
"2014","956849","947670","1292604","1088867","955599","829957","917659","902604","1108941","913472","783460","782566","730035","667933","699548","697540","715443","771376","804007","1245600","958377"
"2015","964895","959507","1314031","1073806","970157","837530","946918","961095","1026352","827540","775465","738754","732732","751058","735650","636162","768611","673239","896581","1136385","917788"
"2016","993115","1011072","1320834","1087073","949050","884524","964009","906825","1105002","962522","838103","775270","753126","768510","761571","674647","782381","896505","902459","1240355","962456"
"2017","1018941","1046576","1344538","1105711","1033169","902536","985517","901167","1271770","853451","816320","758388","745074","769976","801448","752275","752426","724107","924561","1283253","915716"
"2018","1036304","1069349","1379305","1129990","1065509","898912","1003178","906350","1183400","870498","842573","817442","726847","808597","834508","751292","789072","792436","896746","1161766","967662"
"2019","1059731","1102332","1422400","1147356","1082584","904114","1014869","921399","1224585","900087","863243","794051","797654","734827","816584","746775","809661","867725","957069","1277527","1019459"
"2020","1079648","1134884","1422856","1182717","1082645","904141","1017796","959374","1294404","970239","845399","845536","830718","781236","891979","764655","873311","919475","946221","1294305","1045590"
"2021","1090554","1151270","1430572","1190800","1084908","924875","1022366","949853","1350178","1007110","906679","836060","873727","791988","875841","782652","870890","676810","934080","1296693","1015672"
"2022","1108569","1179777","1444264","1195169","1102924","941880","1035378","961225","1380296","1061582","924960","878953","869524","764224","909670","779852","859654","767244","917655","1374113","1077735"
"2023","1136708","1195910","1448219","1223521","1117013","971186","1091036","940349","1429260","1115312","967506","918211","920910","802683","909690","789468","868593","900915","954117","1451037","1128593"
"2024","1165206","1219151","1485461","1240719","1171877","1009768","1143840","939611","1481536","1163673","917893","892163","939002","836911","907896","782735","903665","792956","919226","1503646","1213216"
